bcsid,bd9totce,bd9hnvq,bd9ms,bd9partp,b9groa,b9cns8,b9ten,b9cmsex,hinvq00,wm1,wm2,wm3,wm4,wm5,c1,c2,c3,c4,b11sex,bd11nochh,bd1psoc,bd1mage,bd1agefb,bd1cntry,bd1regn,a0166,bd3read,bd3maths,bd3psoc,bd3inc,bd4read,bd4psoc,bd4mal,mathscore,y,d,sex_raw,female,soc_birth,soc_10,soc_16,mage,mage_fb,parity,birth_order,read_10_z,math_10_z,cog_10,vocab_16_z,math_16_z,cog_16,inc_10,malaise_16,m_trad_gender,m_profamily,m_earnings,m_log_earn,m_partner
B17216F,1,2,8,NA,400,7,4,1,2,5,5,5,5,5,4,1,1,2,1,0,6,24,16,1,6,2,0.12,45,4,3,NA,NA,-2,NA,1,2,1,0,0,2,NA,24,16,2,3,-0.018773452381455096,-0.03554788748797794,-0.027160669934716518,NA,NA,NA,3,-2,5,2.5,400,5.993961427306569,NA
B17217G,0,2,8,NA,15000,2,4,2,2,4,3,3,3,3,3,2,3,2,2,0,5,37,19,1,5,2,-0.76,30,2,4,-0.86,2,8,27,0,2,2,1,1,4,4,37,19,2,3,-0.9339077834429665,-1.3006994111284296,-1.117303597285698,-0.9414693477160883,-0.936418474336162,-0.9389439110261251,4,8,3.3333333333333335,3,15000,9.61587214452889,NA
B17218H,2,2,8,3,420,6,4,2,2,4,4,3,3,4,3,3,3,4,2,2,5,30,28,1,2,1,-0.84,58,3,4,1.83,3,10,NA,2,2,2,1,1,3,3,30,28,1,2,-1.0171018135394676,1.0609167663337467,0.021907476397139525,1.8199474172773067,NA,NA,4,10,3.6666666666666665,3,420,6.042632833682381,0
B17219J,1,2,2,NA,1300,2,2,2,2,1,2,3,4,3,1,4,5,2,NA,NA,5,23,20,1,5,1,-1.56,30,3,3,-1.18,NA,NA,21,1,2,2,1,1,3,NA,23,20,1,2,-1.7658480844079767,-1.3006994111284296,-1.5332737477682032,-1.2699650223621426,-1.4614373983395925,-1.3657012103508674,3,NA,2,3,1300,7.170888478512505,NA
B10974J,4,3,2,1,NA,8,2,1,1,2,2,4,4,1,2,4,4,1,NA,NA,5,44,27,1,7,4,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,0,1,NA,NA,44,27,4,5,NA,NA,NA,NA,NA,NA,NA,NA,2.6666666666666665,3,NA,NA,1
B17224F,4,5,8,3,18000,1.2,2,2,3,3,4,2,2,5,4,1,2,4,2,4,5,24,22,1,8,1,0.84,45,5,0,1.83,NA,8,NA,4,3,2,1,1,1,NA,24,22,1,2,0.7299728184870542,-0.03554788748797794,0.3472124654995381,1.8199474172773067,NA,NA,0,8,3,3,18000,9.798182590890704,0
B17226H,2,4,2,1,NA,4,2,1,4,3,3,3,3,4,3,2,2,3,1,2,6,25,25,3,10,0,-0.68,51,4,2,0.33,4,9,44,2,4,1,0,0,2,2,25,25,0,1,-0.8507137533464655,0.4705127219682027,-0.1901005156891314,0.28012394237392657,0.5511351436735579,0.4156295430237422,2,9,3,2.5,NA,NA,1
B17227J,3,3,2,1,15000,6,7,1,3,2,2,4,4,2,2,3,2,2,1,3,7,26,23,1,5,1,1.47,56,5,3,NA,5,-2,NA,3,3,1,0,-1,1,1,26,23,1,2,1.385125805497,0.8922298965150198,1.1386778510060098,NA,NA,NA,3,-2,2.6666666666666665,2,15000,9.61587214452889,1
B17229L,2,5,NA,3,14000,2,2,2,3,4,3,3,3,3,2,2,4,3,2,2,5,36,30,1,2,2,0.92,47,5,4,NA,NA,NA,NA,2,3,2,1,1,1,NA,36,30,2,3,0.8131668485835553,0.13313898233074895,0.4731529154571521,NA,NA,NA,4,NA,3.3333333333333335,3,14000,9.546884034617925,0
B17231E,2,3,3,NA,200,2,4,2,2,2,2,3,5,3,2,3,5,2,2,2,4,23,20,1,3,1,NA,NA,3,4,NA,3,-2,NA,2,2,2,1,2,3,3,23,20,1,2,NA,NA,NA,NA,NA,NA,4,-2,2.3333333333333335,3.5,200,5.303304908059076,NA
